"BehaviorSpace results (NetLogo 6.2.0)"
"firefightersRTM.nlogo"
"experiment"
"09/07/2022 19:11:50:871 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","29","0","29"
"[run number]","nb-firefighters","propforest","communication?","nb-groups","[step]","count patches with [state = ""burned""]"
"5","12","10","true","1","2","1"
"1","12","10","true","1","2","1"
"10","12","10","true","1","4","2"
"2","12","10","true","1","19","1"
"3","12","10","true","1","31","2"
"7","12","10","true","1","31","7"
"9","12","10","true","1","57","2"
"6","12","10","true","1","86","1"
"15","12","10","true","1","26","1"
"16","12","10","true","1","26","3"
"13","12","10","true","1","91","2"
"19","12","10","true","1","1","1"
"11","12","10","true","1","137","1"
"21","12","10","true","1","1","1"
"22","12","10","true","1","2","1"
"12","12","10","true","1","2","1"
"24","12","10","true","1","4","2"
"20","12","10","true","1","97","6"
"26","12","10","true","1","10","1"
"27","12","10","true","1","3","1"
"17","12","10","true","1","36","1"
"23","12","10","true","1","93","2"
"30","12","10","true","1","18","2"
"29","12","10","true","1","17","1"
"31","12","10","true","1","7","2"
"32","12","10","true","1","5","2"
"14","12","10","true","1","128","1"
"35","12","10","true","1","11","1"
"33","12","10","true","1","39","4"
"18","12","10","true","1","213","2"
"4","12","10","true","1","102","1"
"38","12","10","true","1","32","1"
"28","12","10","true","1","129","1"
"40","12","10","true","1","28","1"
"42","12","10","true","1","2","1"
"41","12","10","true","1","31","2"
"25","12","10","true","1","107","5"
"45","12","10","true","1","3","2"
"8","12","10","true","1","175","1"
"44","12","10","true","1","94","1"
"43","12","10","true","1","120","1"
"36","12","10","true","1","127","1"
"34","12","10","true","1","93","1"
"51","12","10","true","1","10","4"
"47","12","10","true","1","38","1"
"37","12","10","true","1","247","2"
"50","12","10","true","1","36","1"
"48","12","10","true","1","18","1"
"52","12","10","true","1","77","1"
"57","12","10","true","1","4","2"
"56","12","10","true","1","13","3"
"53","12","10","true","1","68","4"
"55","12","10","true","1","99","1"
"60","12","10","true","1","29","2"
"58","12","10","true","1","50","1"
"54","12","10","true","1","138","1"
"62","12","10","true","1","9","1"
"64","12","10","true","1","5","2"
"63","12","10","true","1","9","1"
